t 64:62:58:78:24|69:00:34:67:41
t 18:75:50:07:93|29:86:78:35:91
t 00:25:86:07:64|10:52:31:85:14
t 26:16:73:68:33|50:57:47:74:05
t 51:47:00:33:89|69:21:61:34:93
t 28:52:21:79:86|84:66:63:89:68
t 53:68:92:01:89|55:44:56:87:47
t 57:79:27:45:92|61:29:33:41:49
t 48:58:34:84:90|50:74:02:36:81
t 07:92:74:53:06|89:17:86:74:19
t 01:47:77:63:72|25:92:03:29:61
t 02:73:70:22:67|95:88:64:89:99
t 08:66:61:92:63|76:54:34:99:34
t 54:56:46:88:70|74:28:51:06:60
t 89:70:97:89:06|97:49:63:83:13
t 54:19:73:93:60|98:25:99:46:10
t 56:44:75:51:66|89:35:03:93:38
t 33:52:64:84:30|91:81:55:85:50
t 56:22:25:46:49|99:31:37:57:16
t 14:03:51:58:00|73:94:95:58:34
t 36:42:04:90:48|63:76:23:62:56
t 44:72:86:63:48|49:01:70:66:19
t 29:34:93:05:24|67:39:59:93:23
t 78:90:26:07:74|79:21:86:05:41
t 27:70:16:97:34|35:72:61:09:41
t 21:79:37:03:87|50:36:70:13:73
t 11:80:37:58:02|40:21:31:21:88
t 62:86:32:05:01|74:11:91:84:23
t 30:69:27:59:28|45:70:72:94:36
t 08:17:70:85:33|92:86:14:70:49
t 53:08:92:35:01|96:96:85:28:41
t 13:01:10:86:87|64:32:79:82:56
t 36:41:91:58:24|47:08:05:32:86
t 77:63:33:28:20|83:33:65:93:50
t 03:32:85:70:66|39:80:26:15:63
t 41:75:13:21:27|80:70:64:70:46
t 35:89:57:02:19|66:29:12:46:40
t 18:07:10:95:37|98:52:14:06:46
t 33:63:93:84:34|84:72:37:73:80
t 01:08:79:55:97|86:97:38:49:42
t 72:41:67:40:76|78:75:64:31:95
t 14:99:25:62:87|58:24:85:26:37
t 82:93:83:88:68|85:31:88:91:11
t 14:39:16:89:05|80:23:66:03:15
t 19:86:66:84:48|78:10:53:67:76
t 19:73:36:12:01|27:58:89:42:99
t 67:09:15:11:83|74:49:65:80:65
t 71:88:50:78:14|96:06:65:79:88
t 07:48:26:64:48|77:22:32:56:84
t 11:53:84:53:72|43:99:88:01:44
t 50:90:31:16:77|80:47:97:04:22
t 13:90:69:13:21|59:59:30:89:85
t 25:87:09:84:74|91:02:15:56:26
t 40:51:42:43:56|76:15:60:52:41
t 01:83:64:12:70|40:71:98:06:66
t 27:30:61:27:89|48:22:23:25:44
t 09:93:88:79:96|23:95:74:34:61
t 06:56:65:74:69|85:08:51:45:54
t 20:42:30:31:64|76:81:47:06:48
t 43:56:07:56:83|91:74:86:67:07
t 42:88:26:63:64|45:77:02:14:34
t 55:01:40:35:93|95:24:84:49:52
t 10:64:89:67:78|49:81:85:02:08
t 34:15:96:52:58|94:12:58:48:02
t 12:62:90:60:06|55:71:70:13:59
t 90:82:76:91:36|92:81:94:76:90
t 61:40:70:64:46|82:79:55:12:60
t 65:76:83:75:18|74:13:34:07:39
t 26:72:56:14:62|31:47:07:18:49
t 68:18:93:21:76|71:58:47:36:62
t 01:24:90:77:04|96:69:58:80:33
t 17:08:99:45:07|50:23:17:72:54
t 09:56:63:84:53|96:80:73:62:67
t 06:40:39:34:22|14:51:34:23:46
t 40:85:89:81:28|54:02:27:63:31
t 03:98:31:19:64|91:92:36:66:23
t 34:65:49:93:21|38:19:93:50:39
t 55:85:16:85:42|61:05:24:92:49
t 59:56:29:53:39|71:01:80:44:88
t 24:84:56:78:90|86:70:83:45:73
t 71:12:32:84:37|72:84:15:91:22
t 20:52:91:72:34|44:83:25:81:83
t 28:30:62:96:97|38:48:93:47:38
t 49:12:14:43:63|49:57:59:96:37
t 34:83:00:61:00|35:52:42:16:67
t 33:84:25:41:20|40:70:52:28:69
t 18:43:99:01:70|24:76:62:65:68
t 20:55:18:85:68|64:17:55:09:28
t 21:15:53:93:03|78:81:15:46:42
t 11:53:34:16:64|97:52:16:66:85
t 00:35:29:80:21|74:05:69:38:05
t 31:09:78:88:31|90:80:23:94:03
t 02:31:94:35:26|06:99:90:46:95
t 09:92:88:32:60|80:56:70:33:94
t 12:62:93:68:84|30:68:22:90:51
t 51:33:69:41:60|53:86:24:18:54
g
q
